PDB_ID	Glycan_RMSD
2ZKN	0.143
1PWB	0.162
1I3H	0.174
1KJL	0.177
3G83	0.181
1C1L	0.182
1SLT	0.202
5GAL	0.204
2J1V	0.265
4MBY	1.337/0.315
3NV4	1.285/0.339
2VXJ	0.351
5GY0	0.359
1QFO	0.362/1.182
3AOF	0.392
5YRG	0.392/1.554
5AWQ	0.407/2.186
2Y6G	0.464
5JU9	0.486
6N35	0.503
4XUR	0.524
3P5H	0.535
3OEB	0.547
1LMQ	0.559
154L	0.58
3P5G	0.654
2J73	2.169/0.672
3ACH	0.685
2J72	0.72
4DQJ	0.775
4YFZ	0.82
3AP9	0.866
1KQZ	0.886
2BOF	0.924
2RDK	0.945
5VX9	1.05
1KQY	1.097
1PMH	1.211
1UXX	1.259
5VX5	1.34
3ZWE	1.359
4HK8	1.55
2XJR	1.604/2.05
6MSY	1.636
1UU6	1.755
2J1T	2.146
2VUZ	4.526/2.557
2Z8L	4.124/4.025
